"","date","england_new_deaths","england_seven_day_average","wales_new_deaths","wales_seven_day_average","scotland_new_deaths","scotland_seven_day_average","northern_ireland_new_deaths","northern_ireland_seven_day_average"
"245","2020-11-17",368,356.714285714286,29,26.1428571428571,36,36,11,11.4285714285714
"246","2020-11-18",439,374.857142857143,18,24.5714285714286,24,34.1428571428571,10,11
"247","2020-11-19",401,381.714285714286,26,24.2857142857143,26,33.2857142857143,13,11.4285714285714
"248","2020-11-20",392,386.428571428571,21,23,29,32,13,11.7142857142857
"249","2020-11-21",400,391.714285714286,28,24.2857142857143,33,30.8571428571429,8,11
"250","2020-11-22",410,395.571428571429,27,24.5714285714286,36,31,6,10
"251","2020-11-23",401,401.571428571429,25,24.8571428571429,31,30.7142857142857,8,9.85714285714286
"252","2020-11-24",410,407.571428571429,18,23.2857142857143,30,29.8571428571429,7,9.28571428571429
"253","2020-11-25",429,406.142857142857,17,23.1428571428571,32,31,10,9.28571428571429
"254","2020-11-26",372,402,30,23.7142857142857,23,30.5714285714286,8,8.57142857142857
"255","2020-11-27",368,398.571428571429,26,24.4285714285714,24,29.8571428571429,11,8.28571428571429
"256","2020-11-28",387,396.714285714286,32,25,41,31,11,8.71428571428571
"257","2020-11-29",404,395.857142857143,26,24.8571428571429,28,29.8571428571429,8,9
"258","2020-11-30",364,390.571428571429,17,23.7142857142857,32,30,12,9.57142857142857
"259","2020-12-01",347,381.571428571429,19,23.8571428571429,27,29.5714285714286,7,9.57142857142857
"260","2020-12-02",337,368.428571428571,22,24.5714285714286,20,27.8571428571429,8,9.28571428571429
"261","2020-12-03",408,373.571428571429,27,24.1428571428571,36,29.7142857142857,6,9
"262","2020-12-04",413,380,27,24.2857142857143,29,30.4285714285714,7,8.42857142857143
"263","2020-12-05",344,373.857142857143,20,22.5714285714286,19,27.2857142857143,12,8.57142857142857
"264","2020-12-06",357,367.142857142857,25,22.4285714285714,29,27.4285714285714,11,9
"265","2020-12-07",360,366.571428571429,20,22.8571428571429,29,27,17,9.71428571428571
"266","2020-12-08",376,370.714285714286,25,23.7142857142857,28,27.1428571428571,7,9.71428571428571
"267","2020-12-09",376,376.285714285714,25,24.1428571428571,23,27.5714285714286,9,9.85714285714286
"268","2020-12-10",380,372.285714285714,33,25,24,25.8571428571429,13,10.8571428571429
"269","2020-12-11",400,370.428571428571,26,24.8571428571429,20,24.5714285714286,9,11.1428571428571
"270","2020-12-12",377,375.142857142857,33,26.7142857142857,23,25.1428571428571,7,10.4285714285714
"271","2020-12-13",368,376.714285714286,22,26.2857142857143,26,24.7142857142857,5,9.57142857142857
"272","2020-12-14",414,384.428571428571,30,27.7142857142857,31,25,6,8
"273","2020-12-15",391,386.571428571429,33,28.8571428571429,32,25.5714285714286,6,7.85714285714286
"274","2020-12-16",354,383.428571428571,34,30.1428571428571,31,26.7142857142857,13,8.42857142857143
"275","2020-12-17",441,392.142857142857,48,32.2857142857143,36,28.4285714285714,14,8.57142857142857
"276","2020-12-18",435,397.142857142857,48,35.4285714285714,23,28.8571428571429,10,8.71428571428571
"277","2020-12-19",415,402.571428571429,34,35.5714285714286,27,29.4285714285714,15,9.85714285714286
"278","2020-12-20",430,411.428571428571,35,37.4285714285714,29,29.8571428571429,12,10.8571428571429
"279","2020-12-21",498,423.428571428571,37,38.4285714285714,25,29,17,12.4285714285714
"280","2020-12-22",491,437.714285714286,35,38.7142857142857,28,28.4285714285714,10,13
"281","2020-12-23",482,456,34,38.7142857142857,35,29,15,13.2857142857143
"282","2020-12-24",489,462.857142857143,45,38.2857142857143,36,29,15,13.4285714285714
"283","2020-12-25",540,477.857142857143,33,36.1428571428571,35,30.7142857142857,7,13
"284","2020-12-26",571,500.142857142857,43,37.4285714285714,34,31.7142857142857,10,12.2857142857143
"285","2020-12-27",583,522,29,36.5714285714286,34,32.4285714285714,14,12.5714285714286
"286","2020-12-28",592,535.428571428571,49,38.2857142857143,31,33.2857142857143,8,11.2857142857143
"287","2020-12-29",581,548.285714285714,41,39.1428571428571,27,33.1428571428571,11,11.4285714285714
"288","2020-12-30",628,569.142857142857,50,41.4285714285714,32,32.7142857142857,13,11.1428571428571
"289","2020-12-31",653,592.571428571429,51,42.2857142857143,44,33.8571428571429,10,10.4285714285714
"290","2021-01-01",645,607.571428571429,58,45.8571428571429,35,33.8571428571429,13,11.2857142857143
"291","2021-01-02",672,622,34,44.5714285714286,42,35,14,11.8571428571429
"292","2021-01-03",655,632.285714285714,53,48,42,36.1428571428571,12,11.5714285714286
"293","2021-01-04",758,656,37,46.2857142857143,37,37,13,12.2857142857143
"294","2021-01-05",823,690.571428571429,39,46,40,38.8571428571429,7,11.7142857142857
"295","2021-01-06",829,719.285714285714,48,45.7142857142857,50,41.4285714285714,11,11.4285714285714
"296","2021-01-07",891,753.285714285714,41,44.2857142857143,44,41.4285714285714,21,13
"297","2021-01-08",892,788.571428571429,45,42.4285714285714,42,42.4285714285714,10,12.5714285714286
"298","2021-01-09",931,825.571428571429,34,42.4285714285714,38,41.8571428571429,20,13.4285714285714
"299","2021-01-10",984,872.571428571429,40,40.5714285714286,59,44.2857142857143,16,14
"300","2021-01-11",1006,908,54,43,48,45.8571428571429,23,15.4285714285714
"301","2021-01-12",1095,946.857142857143,48,44.2857142857143,51,47.4285714285714,19,17.1428571428571
"302","2021-01-13",1107,986.571428571429,43,43.5714285714286,51,47.5714285714286,19,18.2857142857143
"303","2021-01-14",1093,1015.42857142857,54,45.4285714285714,59,49.7142857142857,26,19
"304","2021-01-15",1104,1045.71428571429,42,45,58,52,24,21
"305","2021-01-16",1174,1080.42857142857,40,45.8571428571429,76,57.4285714285714,20,21
"306","2021-01-17",1174,1107.57142857143,26,43.8571428571429,43,55.1428571428571,29,22.8571428571429
"307","2021-01-18",1171,1131.14285714286,43,42.2857142857143,64,57.4285714285714,21,22.5714285714286
"308","2021-01-19",1251,1153.42857142857,26,39.1428571428571,70,60.1428571428571,19,22.5714285714286
"309","2021-01-20",1177,1163.42857142857,38,38.4285714285714,66,62.2857142857143,19,22.5714285714286
"310","2021-01-21",1136,1169.57142857143,34,35.5714285714286,56,61.8571428571429,11,20.4285714285714
"311","2021-01-22",1127,1172.85714285714,39,35.1428571428571,68,63.2857142857143,13,18.8571428571429
"312","2021-01-23",1067,1157.57142857143,33,34.1428571428571,53,60,20,18.8571428571429
"313","2021-01-24",1042,1138.71428571429,34,35.2857142857143,70,63.8571428571429,13,16.5714285714286
"314","2021-01-25",1075,1125,27,33,52,62.1428571428571,15,15.7142857142857
"315","2021-01-26",968,1084.57142857143,37,34.5714285714286,50,59.2857142857143,12,14.7142857142857
"316","2021-01-27",1012,1061,22,32.2857142857143,61,58.5714285714286,20,14.8571428571429
"317","2021-01-28",1021,1044.57142857143,29,31.5714285714286,46,57.1428571428571,16,15.5714285714286
"318","2021-01-29",945,1018.57142857143,42,32,59,55.8571428571429,23,17
"319","2021-01-30",834,985.285714285714,22,30.4285714285714,44,54.5714285714286,14,16.1428571428571
"320","2021-01-31",814,952.714285714286,22,28.7142857142857,48,51.4285714285714,12,16
"321","2021-02-01",810,914.857142857143,29,29,43,50.1428571428571,15,16
"322","2021-02-02",763,885.571428571429,33,28.4285714285714,44,49.2857142857143,13,16.1428571428571
"323","2021-02-03",783,852.857142857143,27,29.1428571428571,48,47.4285714285714,5,14
"324","2021-02-04",652,800.142857142857,22,28.1428571428571,32,45.4285714285714,14,13.7142857142857
"325","2021-02-05",678,762,23,25.4285714285714,44,43.2857142857143,9,11.7142857142857
"326","2021-02-06",612,730.285714285714,27,26.1428571428571,50,44.1428571428571,13,11.5714285714286
"327","2021-02-07",570,695.428571428571,18,25.5714285714286,42,43.2857142857143,8,11
"328","2021-02-08",614,667.428571428571,17,23.8571428571429,40,42.8571428571429,9,10.1428571428571
"329","2021-02-09",541,635.714285714286,18,21.7142857142857,49,43.5714285714286,3,8.71428571428571
"330","2021-02-10",545,601.714285714286,20,20.7142857142857,37,42,8,9.14285714285714
"331","2021-02-11",513,581.857142857143,16,19.8571428571429,35,42.4285714285714,12,8.85714285714286
"332","2021-02-12",459,550.571428571429,25,20.1428571428571,41,42,9,8.85714285714286
"333","2021-02-13",432,524.857142857143,19,19,32,39.4285714285714,8,8.14285714285714
